"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R8","0402R","15.2908mm","-4.3434mm","15.2908mm","-4.3434mm","14.7828mm","-4.3434mm","B","0.00","10K"
"R5","0402R","15.2654mm","-3.0988mm","15.2654mm","-3.0988mm","14.7574mm","-3.0988mm","B","0.00","10K"
"ANT1","ANT_mark","9.398mm","-15.1384mm","9.398mm","-15.1384mm","9.398mm","-15.1384mm","B","45.00","ANT"
"Y2","晶振-9","19.9502mm","-0.953mm","20.6502mm","-4.953mm","20.6502mm","-4.953mm","B","180.00","32.768KHZ"
"X1","XTAL3225","4.699mm","-8.3566mm","4.699mm","-8.3566mm","5.449mm","-7.4066mm","B","270.00","16MHZ"
"UB1","SOP8","16.2814mm","-10.2108mm","16.2814mm","-10.2108mm","19.4669mm","-10.7022mm","B","135.00","PCF8563"
"U3","SOT-23-3L","-7.0104mm","-9.7536mm","-7.0104mm","-9.7536mm","-5.9944mm","-8.8036mm","B","270.00","HT7533"
"U1","QFN48_6*6*0.4","8.9154mm","-0.4572mm","8.9154mm","-0.4572mm","8.4204mm","-4.0634mm","B","45.00","BK3435QFN48_A"
"T2","SOT-23-3L","16.5608mm","14.2494mm","16.5608mm","14.2494mm","17.5108mm","13.2334mm","B","180.00","SS8050"
"T1","SOT-23-3L","-3.6322mm","10.2108mm","-3.6322mm","10.2108mm","-4.5822mm","11.2268mm","B","360.00","SS8050"
"RW3","0402R","-17.4752mm","-9.271mm","-17.4752mm","-9.271mm","-16.9672mm","-9.271mm","B","180.00","100R"
"RW2","0402R","-19.4818mm","-9.1948mm","-19.4818mm","-9.1948mm","-19.4818mm","-9.7028mm","B","90.00","100K"
"RW1","0402R","-20.8026mm","-9.1948mm","-20.8026mm","-9.1948mm","-20.8026mm","-8.6868mm","B","270.00","100K"
"R54","0402R","16.6624mm","11.684mm","16.6624mm","11.684mm","16.1544mm","11.684mm","B","360.00","10K"
"R53","0402R","16.6624mm","10.2616mm","16.6624mm","10.2616mm","16.1544mm","10.2616mm","B","360.00","1K"
"R47","0402R","0.1016mm","15.1892mm","0.1016mm","15.1892mm","0.6096mm","15.1892mm","B","180.00","10R"
"R44","0402R","-17.399mm","15.6972mm","-17.399mm","15.6972mm","-16.891mm","15.6972mm","B","180.00","10K"
"R41","0402R","-20.4724mm","11.303mm","-20.4724mm","11.303mm","-19.9644mm","11.303mm","B","180.00","10K"
"R26","0402R","5.2806mm","-12.9048mm","5.2806mm","-12.9048mm","4.7726mm","-12.9048mm","B","360.00","10K"
"R19","0402R","1.7018mm","-5.4864mm","1.7018mm","-5.4864mm","1.1938mm","-5.4864mm","B","360.00","510%1"
"R18","0402R","1.7018mm","-2.9464mm","1.7018mm","-2.9464mm","2.2098mm","-2.9464mm","B","180.00","100K%1"
"R17","0402R","-4.2418mm","15.1638mm","-4.2418mm","15.1638mm","-3.7338mm","15.1638mm","B","180.00","1K"
"R16","0402R","-13.5128mm","-5.6134mm","-13.5128mm","-5.6134mm","-13.0048mm","-5.6134mm","B","180.00","1K"
"R15","0402R","-9.2964mm","-15.9004mm","-9.2964mm","-15.9004mm","-9.8044mm","-15.9004mm","B","360.00","1K"
"R14","0402R","10.795mm","-11.1506mm","10.795mm","-11.1506mm","10.795mm","-10.6426mm","T","270.00","1K"
"R13","0402R","15.621mm","3.2004mm","15.621mm","3.2004mm","15.621mm","3.7084mm","T","270.00","1K"
"R12","0402R","12.3444mm","11.0998mm","12.3444mm","11.0998mm","12.3444mm","11.6078mm","B","270.00","1K"
"R11","0402R","-4.2672mm","13.7668mm","-4.2672mm","13.7668mm","-4.7752mm","13.7668mm","B","360.00","10K"
"R7","0402R","11.43mm","15.4432mm","11.43mm","15.4432mm","11.938mm","15.4432mm","B","180.00","1K"
"R6","0402R","5.2832mm","-11.6078mm","5.2832mm","-11.6078mm","4.7752mm","-11.6078mm","B","360.00","4.7K"
"R4","0402R","-4.2418mm","12.4968mm","-4.2418mm","12.4968mm","-4.7498mm","12.4968mm","B","360.00","200R"
"R3","0402R","-6.5024mm","-12.9286mm","-6.5024mm","-12.9286mm","-6.5024mm","-12.4206mm","B","270.00","1K"
"R2","0402R","-7.8486mm","-12.954mm","-7.8486mm","-12.954mm","-7.8486mm","-12.446mm","B","270.00","100K"
"R1","0402R","11.4046mm","16.7386mm","11.4046mm","16.7386mm","11.9126mm","16.7386mm","B","180.00","10K"
"Q7","SOT-23_-_BCE","4.5466mm","-15.24mm","4.5466mm","-15.24mm","4.5466mm","-16.256mm","B","360.00","PMBT3904"
"Q6","SOT-23_-_BCE","-17.018mm","-6.8072mm","-17.018mm","-6.8072mm","-16.002mm","-6.8072mm","B","90.00","PMBT3904"
"Q5","SOT-23_-_GDS","-10.6934mm","-13.716mm","-10.6934mm","-13.716mm","-11.6434mm","-12.7mm","B","360.00","SI2301"
"Q4","SOT-23_-_GDS","-17.653mm","13.4112mm","-17.653mm","13.4112mm","-18.603mm","14.4272mm","B","360.00","BSS123W"
"Q3","SOT-23_-_GDS","-20.4724mm","8.7376mm","-20.4724mm","8.7376mm","-21.4224mm","9.7536mm","B","360.00","BSS123W"
"Q2","SOT-23_-_GDS","-0.5588mm","-16.4592mm","-0.5588mm","-16.4592mm","-1.5748mm","-17.4092mm","B","90.00","SI2301"
"Q1","SOT-23_-_BCE","11.4046mm","19.3548mm","11.4046mm","19.3548mm","11.4046mm","20.3708mm","B","180.00","S8050"
"P3","B3B-PH","-4.8006mm","-19.1262mm","-4.8006mm","-19.1262mm","-4.8006mm","-21.1262mm","B","90.00","电池盒"
"P2","MICRO-USB_F-B","-26.3699mm","1.75mm","-26.4414mm","1.75mm","-25.0414mm","0.45mm","B","90.00","MICROUSB"
"P1","B2B-PH","4.5212mm","20.7772mm","4.5212mm","20.7772mm","4.5212mm","19.7772mm","B","90.00","外接磁线圈"
"LED8","0603LED","-4.1656mm","15.2146mm","-4.1656mm","15.2146mm","-4.9276mm","15.2146mm","T","0.00","BLUE"
"LED7","0603LED","-19.1262mm","5.1816mm","-19.1262mm","5.1816mm","-19.8882mm","5.1816mm","T","360.00","BLUE"
"LED6","0603LED","-12.2174mm","-11.176mm","-12.2174mm","-11.176mm","-12.2174mm","-10.414mm","T","270.00","BLUE"
"LED4","0603LED","12.6238mm","-11.1252mm","12.6238mm","-11.1252mm","12.6238mm","-11.8872mm","T","90.00","BLUE"
"LED3","0603LED","15.6718mm","0.0254mm","15.6718mm","0.0254mm","15.6718mm","0.7874mm","T","270.00","BLUE"
"LED2","0603LED","12.319mm","10.9982mm","12.319mm","10.9982mm","12.319mm","10.2362mm","T","90.00","BLUE"
"L3","0603L","7.8486mm","6.985mm","7.8486mm","6.985mm","7.1374mm","6.985mm","B","360.00","2.2UH"
"L2","0603L","9.3726mm","-8.2042mm","9.3726mm","-8.2042mm","9.3726mm","-8.9154mm","B","90.00","2nH"
"J3","6P-1.0mm_立式","-16.637mm","-0mm","-16.637mm","0mm","-17.8995mm","-2.5mm","B","270.00","指纹串口"
"D3","SOD-123","7.874mm","20.193mm","7.874mm","20.193mm","7.874mm","18.693mm","B","90.00","IN4148"
"D2","DO-214AA","-15.5702mm","-14.0208mm","-15.5702mm","-14.0208mm","-16.9844mm","-12.6066mm","B","135.00","SS14"
"D1","DO-214AA","-10.7188mm","-18.796mm","-10.7188mm","-18.796mm","-9.3046mm","-20.2102mm","B","315.00","SS14"
"C45","0402C","21.9964mm","-2.9718mm","21.9964mm","-2.9718mm","21.9964mm","-2.4638mm","B","270.00","22pF"
"C44","0402C","7.9502mm","8.509mm","7.9502mm","8.509mm","7.4422mm","8.509mm","B","360.00","10uF"
"C43","0402C","17.9324mm","-2.9718mm","17.9324mm","-2.9718mm","17.9324mm","-3.4798mm","B","90.00","22pF"
"C42","0402C","11.811mm","7.6962mm","11.811mm","7.6962mm","11.811mm","7.1882mm","B","90.00","100nF"
"C41","0603C","10.3124mm","7.8232mm","10.3124mm","7.8232mm","10.3124mm","7.112mm","B","90.00","10uF"
"C40","0402C","-5.08mm","-12.9286mm","-5.08mm","-12.9286mm","-5.08mm","-13.4366mm","B","90.00","1nF"
"C39","0402C","15.2654mm","-5.5626mm","15.2654mm","-5.5626mm","14.7574mm","-5.5626mm","B","0.00","100nF"
"C38","0402C","2.5654mm","-8.7376mm","2.5654mm","-8.7376mm","2.5654mm","-8.2296mm","B","270.00","2.7pF"
"C37","0402C","13.8176mm","6.4262mm","13.8176mm","6.4262mm","14.1768mm","6.067mm","B","135.00","100nF"
"C36","0402C","15.9512mm","2.6213mm","15.9512mm","2.6213mm","16.4592mm","2.6213mm","B","180.00","100nF"
"C35","0402C","15.9512mm","1.27mm","15.9512mm","1.27mm","16.4592mm","1.27mm","B","180.00","1uF"
"C34","0402C","15.1384mm","6.8072mm","15.1384mm","6.8072mm","15.4976mm","6.448mm","B","135.00","100nF"
"C33","0402C","7.0612mm","-8.0518mm","7.0612mm","-8.0518mm","7.0612mm","-8.5598mm","B","90.00","100nF"
"C32","0603C","12.5222mm","-12.2682mm","12.5222mm","-12.2682mm","13.2334mm","-12.2682mm","B","180.00","1pF"
"C30","0603C","9.398mm","-11.5062mm","9.398mm","-11.5062mm","9.398mm","-10.795mm","B","270.00","1.5pF"
"C28","0402C","11.1252mm","-7.9502mm","11.1252mm","-7.9502mm","11.1252mm","-8.4582mm","B","90.00","1uF"
"C27","0402C","1.6765mm","-4.1825mm","1.6764mm","-4.1825mm","1.1684mm","-4.1825mm","B","360.00","1nF"
"C20","0603C","-20.3454mm","-6.477mm","-20.3454mm","-6.477mm","-21.0566mm","-6.477mm","B","360.00","10uF"
"C5","0402C","-2.0828mm","-8.2296mm","-2.0828mm","-8.2296mm","-2.0828mm","-8.7376mm","B","90.00","100nF"
"C4","0805C","-3.9624mm","-9.0537mm","-3.9624mm","-9.0537mm","-3.9624mm","-9.8919mm","B","90.00","10uF"
"C3","0402C","-9.4488mm","-10.414mm","-9.4488mm","-10.414mm","-9.4488mm","-10.922mm","B","90.00","100nF"
"C2","0805C","-11.3932mm","-9.5742mm","-11.3932mm","-9.5742mm","-11.3932mm","-10.4124mm","B","90.00","10uF"
"C1","0402C","15.9512mm","-0.4318mm","15.9512mm","-0.4318mm","15.4432mm","-0.4318mm","B","360.00","100nF"
"BZ1","BUZZER_D93_L40","-12.1158mm","9.3472mm","-12.1158mm","9.3472mm","-13.263mm","7.7089mm","B","55.00","BUZZER"
"9","KEY_5.2*3.7*6.4","10.001mm","17.321mm","10.001mm","17.321mm","8.151mm","19.921mm","T","90.00","SW"
"8","KEY_5.2*3.7*6.4","0.001mm","20mm","0.001mm","20mm","1.851mm","17.4mm","T","270.00","SW"
"7","KEY_5.2*3.7*6.4","-9.999mm","17.321mm","-9.999mm","17.321mm","-13.1456mm","17.8514mm","T","135.00","SW"
"6","KEY_5.2*3.7*6.4","-17.319mm","10mm","-17.319mm","10mm","-19.169mm","12.6mm","T","90.00","SW"
"5","KEY_5.2*3.7*6.4","-19.999mm","0mm","-19.999mm","0mm","-21.849mm","2.6mm","T","90.00","SW"
"4","KEY_5.2*3.7*6.4","-17.319mm","-10mm","-17.319mm","-10mm","-15.469mm","-12.6mm","T","270.00","SW"
"3","KEY_5.2*3.7*6.4","-9.999mm","-17.321mm","-9.999mm","-17.321mm","-10.0231mm","-14.1301mm","T","55.00","SW"
"2","KEY_5.2*3.7*6.4","0.001mm","-20mm","0.001mm","-20mm","1.851mm","-22.6mm","T","270.00","SW"
"1","KEY_5.2*3.7*6.4","10.001mm","-17.321mm","10.001mm","-17.321mm","13.1476mm","-17.8514mm","T","315.00","SW"
"*","KEY_5.2*3.7*6.4","17.322mm","10mm","17.322mm","10mm","15.472mm","12.6mm","T","90.00","SW"
"#","KEY_5.2*3.7*6.4","20.001mm","0mm","20.001mm","0mm","21.851mm","-2.6mm","T","270.00","SW"
"C6","0805C","-13.8442mm","-9.5406mm","-13.8442mm","-9.5406mm","-13.8442mm","-10.3788mm","B","90.00","220uF"
"0","KEY_5.2*3.7*6.4","17.322mm","-10mm","17.322mm","-10mm","19.172mm","-12.6mm","T","270.00","SW"
"C7","0603C","0.0254mm","8.6614mm","0.0254mm","8.6614mm","-0.6858mm","8.6614mm","B","360.00","10uF"
"LED9","0603LED","2.5654mm","-15.1384mm","2.5654mm","-15.1384mm","1.8034mm","-15.1384mm","T","360.00","BLUE"
"R20","0402R","-0.5588mm","-15.3416mm","-0.5588mm","-15.3416mm","-1.0668mm","-15.3416mm","T","180.00","1K"
"J1","7P-2.0MM","23.6019mm","-4.1904mm","25.654mm","1.4478mm","25.654mm","1.4478mm","T","250.00","7P"

